,评分,片名,年份,地区,豆瓣链接
71,8.7,龙子太郎,1979-03-17,['日本'],https://movie.douban.com/subject/1466085/
72,8.7,银河铁道之夜,1985-07-13,['日本'],https://movie.douban.com/subject/1962665/
73,8.7,灵犬莱西,1943-10-07,['美国'],https://movie.douban.com/subject/1294704/
74,8.7,丁丁历险记之太阳神的囚徒,1971-10-22,"['法国', '比利时', '瑞士']",https://movie.douban.com/subject/2084510/
75,8.7,尼伯龙根：西格弗里德之死,1924-02-14,['德国'],https://movie.douban.com/subject/1298312/
76,8.7,尼伯龙根2：克里姆希尔德的复仇,1924-04-26,['德国'],https://movie.douban.com/subject/1867888/
77,8.7,绿野仙踪,1982,['日本'],https://movie.douban.com/subject/2134037/
78,8.7,邮票旅行记,1988-12-08,['加拿大'],https://movie.douban.com/subject/3041533/
79,8.6,神偷奶爸,2010-06-20,"['美国', '法国']",https://movie.douban.com/subject/3287562/
80,8.6,蜘蛛侠：平行宇宙,2018-12-21,['美国'],https://movie.douban.com/subject/26374197/
81,8.6,冰川时代,2002-03-15,['美国'],https://movie.douban.com/subject/1291578/
82,8.6,疯狂的麦克斯4：狂暴之路,2015-05-14,"['澳大利亚', '美国']",https://movie.douban.com/subject/3592854/
83,8.6,崖上的波妞,2020-12-31,['日本'],https://movie.douban.com/subject/1959877/
84,8.6,荒岛余生,2000-12-22,['美国'],https://movie.douban.com/subject/1298653/
85,8.6,勇闯夺命岛,1996-06-07,['美国'],https://movie.douban.com/subject/1292728/
86,8.6,荒野生存,2007-09-21,['美国'],https://movie.douban.com/subject/1905462/
87,8.6,走出非洲,1985-12-10,['美国'],https://movie.douban.com/subject/1291840/
88,8.6,启示,2006-12-08,['美国'],https://movie.douban.com/subject/1450031/
89,8.6,恶童,2006-12-23,['日本'],https://movie.douban.com/subject/1848925/
90,8.6,虎兄虎弟,2004-04-07,"['法国', '英国']",https://movie.douban.com/subject/1309135/
91,8.6,钢铁巨人,1999-08-06,['美国'],https://movie.douban.com/subject/1293863/
92,8.6,爱丽丝梦游仙境,1951-07-26,['美国'],https://movie.douban.com/subject/1310178/
93,8.6,小马王,2002-05-24,['美国'],https://movie.douban.com/subject/1296636/
94,8.6,虎豹小霸王,1969-10-10,['美国'],https://movie.douban.com/subject/1297602/
95,8.6,圣山,1973,['墨西哥'],https://movie.douban.com/subject/1401905/
96,8.6,喜马拉雅,1999-12-15,"['法国', '瑞士', '英国', '尼泊尔']",https://movie.douban.com/subject/1303017/
97,8.6,北壁,2008-10-23,"['德国', '奥地利', '瑞士']",https://movie.douban.com/subject/3271093/
98,8.6,星际宝贝史迪奇,2003-08-25,['美国'],https://movie.douban.com/subject/1401603/
99,8.6,蜡笔小新：激战！涂鸦王国和约四位勇士,2020-09-11,['日本'],https://movie.douban.com/subject/34811098/
