,评分,片名,年份,地区,豆瓣链接
57,8.9,回忆三部曲,1995-12-23,['日本'],https://movie.douban.com/subject/1307897/
58,8.9,艾特熊和赛娜鼠,2012-05-23,['法国'],https://movie.douban.com/subject/6518638/
59,8.9,心理游戏,2004-08-07,['日本'],https://movie.douban.com/subject/1477916/
60,8.9,蝙蝠侠：黑暗骑士归来(下),2013-01-29,['美国'],https://movie.douban.com/subject/11443810/
61,8.9,幻想曲,1940-11-13,['美国'],https://movie.douban.com/subject/1310179/
62,8.9,幻想曲2000,1999-12-17,['美国'],https://movie.douban.com/subject/1301777/
63,8.9,佛兰德斯的狗,1997-03-15,"['日本', '美国']",https://movie.douban.com/subject/1460341/
64,8.9,黄色潜水艇,1968-07-17,"['英国', '美国']",https://movie.douban.com/subject/1305605/
65,8.9,悲伤的贝拉多娜,1973-06-30,['日本'],https://movie.douban.com/subject/1477317/
66,8.9,魔法阿妈,1998-04-03,['中国台湾'],https://movie.douban.com/subject/1299227/
67,8.9,阿曼动画之超级无敌掌门狗系列1,1995-06-15,['英国'],https://movie.douban.com/subject/1295529/
68,8.9,可玛猫,2009-05-26,['日本'],https://movie.douban.com/subject/2310047/
69,8.9,西岳奇童,1984,['中国大陆'],https://movie.douban.com/subject/1466114/
70,8.9,守望先锋：英雄,2016-05-22,['美国'],https://movie.douban.com/subject/26860018/
71,8.9,反叛的鲁路修特别篇：暗黑的背叛,2008-02-22,['日本'],https://movie.douban.com/subject/3136375/
72,8.9,史努比的惊险夏令营,1977-08-24,['美国'],https://movie.douban.com/subject/2139403/
73,8.9,银河英雄传说 Die Neue These 星乱 第2章,2019-10-25,['日本'],https://movie.douban.com/subject/34868197/
74,8.9,做我的情人吧，查理·布朗,1975-01-28,['美国'],https://movie.douban.com/subject/2972559/
75,8.8,千年女优,2001-07-28,['日本'],https://movie.douban.com/subject/1307394/
76,8.8,海洋之歌,2016-08-12,"['爱尔兰', '丹麦', '比利时', '卢森堡', '法国']",https://movie.douban.com/subject/11584019/
77,8.8,我的邻居山田君,1999-07-17,['日本'],https://movie.douban.com/subject/1417728/
78,8.8,迷墙,1982-05-22,['英国'],https://movie.douban.com/subject/1296157/
79,8.8,黑客帝国动画版,2003-06-03,['美国'],https://movie.douban.com/subject/1292347/
80,8.8,她的回忆,1995-12-23,['日本'],https://movie.douban.com/subject/5162334/
81,8.8,原始星球,1973-12-06,"['法国', '捷克斯洛伐克']",https://movie.douban.com/subject/1291989/
82,8.8,男孩与世界,2013-09-20,['巴西'],https://movie.douban.com/subject/25741398/
83,8.8,冬之蝉,2007-02-23,['日本'],https://movie.douban.com/subject/2286133/
84,8.8,指环王,1978-11-15,['美国'],https://movie.douban.com/subject/1307508/
85,8.8,天鹅湖,1981-03-14,['日本'],https://movie.douban.com/subject/2240587/
86,8.8,小熊维尼:寻找克里斯多夫罗宾,1997-08-05,['美国'],https://movie.douban.com/subject/1300694/
87,8.8,贤治之春,1996-12-14,['日本'],https://movie.douban.com/subject/1458035/
